k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
11,1,RAB,1,1,49,6,0,FORCED,1,1968,1670
11,1,RAB,1,2,49,5,0,FORCED,2,1968,2790
11,1,RAB,1,3,49,4,0,FORCED,3,1968,3680
11,1,RAB,1,4,49,3,0,FORCED,4,1968,4380
11,1,RAB,1,5,49,6,1,FORCED,5,1968,4880
11,1,RAB,1,6,49,6,2,FORCED,6,1968,5310
11,1,RAB,1,7,49,6,3,FORCED,7,1968,5660
11,1,RAB,1,8,49,6,4,FORCED,8,1968,5950
11,1,RAB,1,9,49,5,1,FORCED,9,1968,6130
11,1,RAB,1,10,49,5,2,FORCED,10,1968,6280
11,1,RAB,1,11,49,5,3,FORCED,11,1968,6410
11,1,RAB,1,12,49,5,4,FORCED,12,1968,6520
11,1,RAB,1,13,49,2,0,not_forced,12,1968,6650
11,1,RAB,1,14,49,4,1,FORCED,13,1968,6730
11,1,RAB,1,15,49,4,2,FORCED,14,1968,6800
11,1,RAB,1,16,49,4,3,FORCED,15,1968,6860
11,1,RAB,1,17,49,4,4,FORCED,16,1968,6920
FINAL_RAB,11,1,1968,33,SKIPPED,6920
FINAL_SAT,11,1,1968,33,SKIPPED,6920
11,1,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,16,1968,6920
FORCED_VARS,11,1,16,p30 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
