k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
16,9,RAB,1,1,49,6,0,FORCED,1,1887,1480
16,9,RAB,1,2,49,6,1,FORCED,2,1887,2530
16,9,RAB,1,3,49,4,0,FORCED,3,1887,3360
16,9,RAB,1,4,49,5,0,FORCED,4,1887,4090
16,9,RAB,1,5,49,6,2,FORCED,5,1887,4670
16,9,RAB,1,6,49,6,3,FORCED,6,1887,5140
16,9,RAB,1,7,49,6,4,FORCED,7,1887,5490
16,9,RAB,1,8,49,4,1,FORCED,8,1887,5730
16,9,RAB,1,9,49,5,1,FORCED,9,1887,5940
16,9,RAB,1,10,49,2,0,not_forced,9,1887,6180
16,9,RAB,1,11,49,3,0,not_forced,9,1887,6420
16,9,RAB,1,12,49,4,2,FORCED,10,1887,6570
16,9,RAB,1,13,49,4,3,FORCED,11,1887,6710
16,9,RAB,1,14,49,4,4,FORCED,12,1887,6820
16,9,RAB,1,15,49,5,2,FORCED,13,1887,6900
16,9,RAB,1,16,49,5,3,FORCED,14,1887,6980
16,9,RAB,1,17,49,5,4,FORCED,15,1887,7040
FINAL_RAB,16,9,1887,34,SKIPPED,7040
FINAL_SAT,16,9,1887,34,SKIPPED,7040
16,9,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1887,7040
FORCED_VARS,16,9,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
