k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
21,6,RAB,1,1,49,6,0,FORCED,1,2183,1600
21,6,RAB,1,2,49,6,1,FORCED,2,2183,2940
21,6,RAB,1,3,49,6,2,FORCED,3,2183,4020
21,6,RAB,1,4,49,6,3,FORCED,4,2183,4920
21,6,RAB,1,5,49,6,4,FORCED,5,2183,5600
21,6,RAB,1,6,49,6,5,FORCED,6,2183,6090
21,6,RAB,1,7,49,5,0,FORCED,7,2183,6400
21,6,RAB,1,8,49,5,1,FORCED,8,2183,6660
21,6,RAB,1,9,49,5,2,FORCED,9,2183,6860
21,6,RAB,1,10,49,5,3,FORCED,10,2183,7020
21,6,RAB,1,11,49,5,4,FORCED,11,2183,7140
21,6,RAB,1,12,49,5,5,FORCED,12,2183,7230
FINAL_RAB,21,6,2183,37,SKIPPED,7230
FINAL_SAT,21,6,2183,37,SKIPPED,7230
21,6,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,12,2183,7230
FORCED_VARS,21,6,12,p50 p51 p52 p53 p54 p55 p60 p61 p62 p63 p64 p65
