k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
18,2,RAB,1,1,49,6,0,FORCED,1,2173,2030
18,2,RAB,1,2,49,6,1,FORCED,2,2173,3530
18,2,RAB,1,3,49,5,0,FORCED,3,2173,4700
18,2,RAB,1,4,49,5,1,FORCED,4,2173,5730
18,2,RAB,1,5,49,4,0,FORCED,5,2173,6570
18,2,RAB,1,6,49,4,1,FORCED,6,2173,7250
18,2,RAB,1,7,49,6,2,FORCED,7,2173,7800
18,2,RAB,1,8,49,6,3,FORCED,8,2173,8260
18,2,RAB,1,9,49,6,4,FORCED,9,2173,8610
18,2,RAB,1,10,49,3,0,FORCED,10,2173,8860
18,2,RAB,1,11,49,3,1,FORCED,11,2173,9040
18,2,RAB,1,12,49,5,2,FORCED,12,2173,9190
18,2,RAB,1,13,49,5,3,FORCED,13,2173,9300
18,2,RAB,1,14,49,5,4,FORCED,14,2173,9400
18,2,RAB,1,15,49,4,2,FORCED,15,2173,9470
18,2,RAB,1,16,49,4,3,FORCED,16,2173,9530
18,2,RAB,1,17,49,4,4,FORCED,17,2173,9590
FINAL_RAB,18,2,2173,32,SKIPPED,9590
FINAL_SAT,18,2,2173,32,SKIPPED,9590
18,2,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,17,2173,9590
FORCED_VARS,18,2,17,p30 p31 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
