k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
18,12,RAB,1,1,49,6,0,FORCED,1,1908,1600
18,12,RAB,1,2,49,6,1,FORCED,2,1908,2780
18,12,RAB,1,3,49,5,0,FORCED,3,1908,3650
18,12,RAB,1,4,49,5,1,FORCED,4,1908,4410
18,12,RAB,1,5,49,6,2,FORCED,5,1908,5020
18,12,RAB,1,6,49,6,3,FORCED,6,1908,5520
18,12,RAB,1,7,49,6,4,FORCED,7,1908,5870
18,12,RAB,1,8,49,4,0,FORCED,8,1908,6090
18,12,RAB,1,9,49,4,1,FORCED,9,1908,6260
18,12,RAB,1,10,49,5,2,FORCED,10,1908,6380
18,12,RAB,1,11,49,5,3,FORCED,11,1908,6480
18,12,RAB,1,12,49,5,4,FORCED,12,1908,6580
18,12,RAB,1,13,49,4,2,FORCED,13,1908,6640
18,12,RAB,1,14,49,4,3,FORCED,14,1908,6690
18,12,RAB,1,15,49,4,4,FORCED,15,1908,6740
FINAL_RAB,18,12,1908,34,SKIPPED,6750
FINAL_SAT,18,12,1908,34,SKIPPED,6750
18,12,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1908,6750
FORCED_VARS,18,12,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
