k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
5,14,RAB,1,1,35,3,0,FORCED,1,1564,880
5,14,RAB,1,2,35,4,0,FORCED,2,1564,1630
5,14,RAB,1,3,35,5,0,FORCED,3,1564,2280
5,14,RAB,1,4,35,6,0,FORCED,4,1564,2790
5,14,RAB,1,5,35,2,0,not_forced,4,1564,3420
5,14,RAB,1,6,35,3,1,FORCED,5,1564,3740
5,14,RAB,1,7,35,4,1,FORCED,6,1564,4030
5,14,RAB,1,8,35,5,1,FORCED,7,1564,4280
5,14,RAB,1,9,35,6,1,FORCED,8,1564,4470
5,14,RAB,1,10,35,2,1,not_forced,8,1564,4690
5,14,RAB,1,11,35,3,2,FORCED,9,1564,4820
5,14,RAB,1,12,35,4,2,FORCED,10,1564,4940
5,14,RAB,1,13,35,5,2,FORCED,11,1564,5030
5,14,RAB,1,14,35,6,2,FORCED,12,1564,5120
5,14,RAB,1,15,35,2,2,not_forced,12,1564,5200
5,14,RAB,1,16,35,3,3,FORCED,13,1564,5260
5,14,RAB,1,17,35,4,3,FORCED,14,1564,5310
5,14,RAB,1,18,35,5,3,FORCED,15,1564,5350
5,14,RAB,1,19,35,6,3,FORCED,16,1564,5390
FINAL_RAB,5,14,1564,33,SKIPPED,5400
FINAL_SAT,5,14,1564,33,SKIPPED,5400
5,14,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,16,1564,5400
FORCED_VARS,5,14,16,p30 p31 p32 p33 p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
