k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
16,2,RAB,1,1,49,6,0,FORCED,1,2091,1810
16,2,RAB,1,2,49,5,0,FORCED,2,2091,3080
16,2,RAB,1,3,49,6,1,FORCED,3,2091,4210
16,2,RAB,1,4,49,4,0,FORCED,4,2091,5120
16,2,RAB,1,5,49,5,1,FORCED,5,2091,5870
16,2,RAB,1,6,49,6,2,FORCED,6,2091,6500
16,2,RAB,1,7,49,6,3,FORCED,7,2091,7000
16,2,RAB,1,8,49,6,4,FORCED,8,2091,7400
16,2,RAB,1,9,49,3,0,FORCED,9,2091,7680
16,2,RAB,1,10,49,4,1,FORCED,10,2091,7880
16,2,RAB,1,11,49,5,2,FORCED,11,2091,8050
16,2,RAB,1,12,49,5,3,FORCED,12,2091,8180
16,2,RAB,1,13,49,5,4,FORCED,13,2091,8290
16,2,RAB,1,14,49,3,1,FORCED,14,2091,8380
16,2,RAB,1,15,49,4,2,FORCED,15,2091,8440
16,2,RAB,1,16,49,4,3,FORCED,16,2091,8500
16,2,RAB,1,17,49,4,4,FORCED,17,2091,8570
FINAL_RAB,16,2,2091,32,SKIPPED,8570
FINAL_SAT,16,2,2091,32,SKIPPED,8570
16,2,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,17,2091,8570
FORCED_VARS,16,2,17,p30 p31 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
